0.4930237462377133,0.6873461943324287;0.6617664733873583,0.24621274126047943;0.792674552693327,0.614310197448938;0.3686457555663758,0.5563974563964423;
0.6794442627583008,0.7695919395935036;0.37999881270054536,0.49728235887541605;0.8304618269275728,0.42617757049234095;0.5841383523491634,0.43872193710232466;
0.6200170922979922,0.2514358518324954;0.6599156150906487,0.8424618434058905;0.3753878346967292,0.40690379437976654;0.08158370881857246,0.758066647791646;
0.7166537012194274,0.3478222780272139;0.10030355134209668,0.8715640226370303;0.00170051257312831,0.30495362066726994;0.8177559079702544,0.1985870779401585;
0.7460350439759119,0.4087910339326375;0.5079812611781364,0.5955110699069007;0.6215417454902965,0.4099050080124974;0.781842887537135,0.1773742514807689;
0.7169739091141617,0.6760092341867876;0.7483327116802344,0.6973781524012206;0.9529330795734474,0.17474296763514896;0.6564668835109817,0.13715046160951105;
0.5810302735884904,0.6792099166176248;0.36926609135708366,0.8170622226536735;0.23070297298083853,0.15652719366928958;0.1382323196885803,0.016147939337867956;
0.5218082274196199,0.37075768804057685;0.9329105626790529,0.37384080668186437;0.34369010720857074,0.6769504400432593;0.6822985585093544,0.7705142314048493;
0.12704633653921582,0.7072338200749972;0.40105668682631845,0.6521001766008667;0.07985651776666425,0.9978032204045778;0.8289776624099394,0.02256525499173989;
0.7897194138169521,0.06309971451792717;0.9097109825403042,0.8241862948685237;0.15331828477516507,0.10719372314699249;0.1321901458298751,0.9415672935362276;
0.37243849223944436,0.9246087457464514;0.6598830468356583,0.4390370709090686;0.063479253213097,0.8396880762639473;0.8587626886791497,0.28095785775770865;
0.44634486826170305,0.8272357407554585;0.6041635450480197,0.15336903694901904;0.0025651982247273386,0.6143178294602178;0.5932291322769979,0.33983563287955243;
0.1925720222963776,0.22212265822669763;0.3808596892353888,0.09524031394992016;0.15437506170971305,0.6797409038179276;0.9676110727513991,0.09767624667963748;
0.6936459930485653,0.661520723408466;0.6901125158912395,0.029327184046702093;0.782037822045216,0.2944654234265609;0.2902162232823985,0.27853456310053915;
0.20866541868523936,0.5107802400675715;0.24453952236765386,0.1078613469552917;0.47961921973628285,0.4682456296065288;0.05371392763349614,0.1673457572150564;
0.9245792563999379,0.8578003171440625;0.37950024138562133,0.3723040548918951;0.10943510711159976,0.007687456497852074;0.2716319254381596,0.8307951540520678;
0.8334781359944436,0.5733441693212898;0.8675446769762867,0.9240124257968529;0.5623316277667256,0.27643720438038866;0.9914703146529431,0.5442810014425997;
0.10836759632764026,0.04393198064906556;0.4428697987778967,0.28562426277766273;0.2626763716304241,0.25446502355754697;0.13715910633482975,0.6005989272175158;
0.7700618541807568,0.1868873909163975;0.6620803636200626,0.13455734253575347;0.24450522085661663,0.5909266330434446;0.8123955484801532,0.7084013613137432;
0.9291562982058753,0.8391642895732859;0.9182247242579421,0.40481382235936936;0.750024240570372,0.646004988183357;0.041971140553065056,0.7266643315496295;
0.8688769130140763,0.5979179444886629;0.7491676342024528,0.12466941567942136;0.6651417460743453,0.7582375340463505;0.4736862104375965,0.09818332578782196;
0.6081533838931568,0.6317198561749385;0.6103049307276993,0.3901017586815301;0.7522196764320919,0.3370777219076473;0.197065531605097,0.8759101652227694;
0.8879650039953011,0.887184271012081;0.01211835829784158,0.7207450029742997;0.8053713829630287,0.7555952658373569;0.07440882976646579,0.10220814517591603;
0.7312493961600464,0.5403570423935604;0.6441192420361854,0.958517851723493;0.1331547422239896,0.5629859055955249;0.9260491133591031,0.6829381288610281;
0.883080713808005,0.39415596031869615;0.279928845029604,0.5875458838583191;0.4867113339659962,0.07531421890357048;0.9823664622656699,0.01223550794220074;
0.35432205667056993,0.9133591232141034;0.3715989658602963,0.404898595749111;0.18226374316235627,0.37061802570942337;0.9024332795702406,0.5550530487231966;
0.27249138054903255,0.5154765753515526;0.5589240799475077,0.26792038180770616;0.9113396844219915,0.589827874577272;0.8369366164172594,0.5681010523322794;
0.47013570777277625,0.578482022588236;0.741440037230632,0.13416517755217783;0.7442070879085919,0.7142199236062787;0.5455937403419792,0.2896429470627858;
0.9983426736771661,0.8106478069808969;0.5439636154080453,0.1214977279759134;0.22607225668505637,0.7114470116301423;0.5976877159879985,0.4195977164111824;
0.9732599012572025,0.14021798509916306;0.88059193728919,0.5287202291794434;0.390518653455739,0.7331159693136076;0.8069986661184897,0.2678009333702899;
0.7581817305452972,0.537649028127023;0.4453637625143493,0.4029307008782659;0.5258119425141722,0.1570873747494318;0.9396787342611562,0.45438948379715227;
0.6998095172017603,0.11091900017217171;0.9072579782423741,0.7274922767803678;0.35932980099772827,0.6462468436337879;0.47200435220275483,0.5657202664934824;
0.9808185120876438,0.0701980092243345;0.06872094288322517,0.9189254504569716;0.7649957343183341,0.46971890627432555;0.3417410007560433,0.8851202156157726;
0.6954330064194039,0.040830322291971366;0.07360817247925089,0.8048020786362421;0.16345913642352405,0.5892859621595172;0.793704083477351,0.4727230019291301;
0.35243395870929806,0.753462835690453;0.45291409943714156,0.38454999009180146;0.5381197306803691,0.020223345498642242;0.3853689095501758,0.31393451588342614;
0.1262650667961953,0.23132710848857796;0.2388001958763405,0.0636703431258624;0.8830473042592286,0.43058189569295047;0.8995556788756002,0.19905848684725247;
0.29627182802562313,0.8683518480425594;0.20645972636481746,0.9400441509112881;0.24251143230686323,0.5867171415306196;0.1883078735279562,0.460350914515382;
0.5793259987784449,0.06877157311733328;0.9883310947481221,0.8300723531415733;0.9295398311911296,0.9280889640194229;0.08468234661073681,0.1104229468756156;
0.8776364658866656,0.48220603237357884;0.07992723567466553,0.1956597006069829;0.7242181237542861,0.03614375383312807;0.15360728955430647,0.08793169727070649;
0.08630798937533124,0.2512578937303853;0.5910850253978931,0.5811251715448691;0.11673024482209715,0.2889658285907981;0.36932338431765765,0.736636889041106;
0.9691982469363987,0.4401319742589255;0.20355995103906233,0.28037845787470506;0.07585042422262589,0.12480371254393663;0.5761598532288703,0.024055871226379866;
0.01863629614180473,0.9794592700877303;0.147257689764842,0.5427246817531437;0.5846439822111115,0.5573805817221255;0.7939722551521775,0.6605780908294536;
0.25997864869067344,0.7213809655047706;0.9486998990316482,0.16879607036779698;0.946127788361622,0.4015136405330938;0.6730209424837384,0.6292304934157268;
0.40114043088263174,0.11055291542780199;0.9470642781555413,0.07116984596261478;0.8422068924861288,0.14087011652777204;0.5984763725914578,0.4061178905867764;
0.4967736083963159,0.0754073267519284;0.7743193556684264,0.7650487791492081;0.27656719413590714,0.6369973306504808;0.5869231223343414,0.6178973131421873;
0.2886657806869132,0.2928484813918286;0.6177511017674548,0.11843237562668008;0.5633441173757974,0.8808728341164666;0.317880528725654,0.1965801712406765;
0.4998912144572176,0.5752975997137075;0.930225401789667,0.16602226810293275;0.6152600917609746,0.23798811815414345;0.6825366545962873,0.8170689244032224;
0.10322436031507731,0.6062641666224945;0.5877908894148721,0.23815667432539633;0.8710043551560706,0.1535764492248527;0.3171888874117017,0.5154672915169615;
0.24407525987935796,0.1451289394689066;0.19797075360838434,0.1503232601377994;0.5244480121263814,0.004713381163057417;0.5081132604364846,0.6931110678952799;
0.36593609536997185,0.43572998235767646;0.3484777775457729,0.2381498149532989;0.8126481167119078,0.18108612891443587;0.025760094876031148,0.3206480728423422;
0.12903688723941786,0.11352403210115858;0.09022483250523294,0.8595232631350956;0.38405869269368176,0.237352821486838;0.278466457868888,0.8996078988064556;
points on a line
1.67118971652099,1.67118971652099;0.6711897165209899,0.6711897165209899;-0.3288102834790101,-0.3288102834790101;0.6199351234731669,0.19157232744964114;
1.4148586827944225,1.4148586827944225;0.4148586827944225,0.4148586827944225;-0.5851413172055775,-0.5851413172055775;0.642074336463541,0.472190015993032;
1.1102296954707176,1.1102296954707176;0.11022969547071759,0.11022969547071759;-0.8897703045292824,-0.8897703045292824;0.7597915788281884,0.22722586032534187;
1.9169680576259502,1.9169680576259502;0.9169680576259502,0.9169680576259502;-0.08303194237404976,-0.08303194237404976;0.21243321742298382,0.7324015882144372;
1.7394608674744445,1.7394608674744445;0.7394608674744446,0.7394608674744446;-0.2605391325255554,-0.2605391325255554;0.9125800156397508,0.5843890401771574;
1.525118357960251,1.525118357960251;0.525118357960251,0.525118357960251;-0.47488164203974903,-0.47488164203974903;0.49816490270503644,0.8405617574941274;
1.3058842854010226,1.3058842854010226;0.30588428540102264,0.30588428540102264;-0.6941157145989774,-0.6941157145989774;0.1598856505049535,0.007295535546965604;
1.1615763191853095,1.1615763191853095;0.16157631918530957,0.16157631918530957;-0.8384236808146904,-0.8384236808146904;0.9963212303920214,0.009052628992402112;
1.2593177819604569,1.2593177819604569;0.25931778196045685,0.25931778196045685;-0.7406822180395431,-0.7406822180395431;0.3642728837999798,0.7066160726138806;
1.7046075134149428,1.7046075134149428;0.7046075134149428,0.7046075134149428;-0.29539248658505723,-0.29539248658505723;0.09942514839949534,0.4767858186553565;
1.801216137144856,1.801216137144856;0.801216137144856,0.801216137144856;-0.19878386285514404,-0.19878386285514404;0.3044286343903231,0.5952133989650593;
malformed lines
0.3300406699803684,0.33099165770627736;0.8836612525106448,0.6730959891489117;0.7416275576274597,0.26161395038136614;
0.5795105694555972,0.684492206028033;0.4834379841979214,0.6716785642848184;0.9084032748690766,0.46490826151758835;0.6196097401275319,0.4758595328944063;0.11583699227883237,0.26290661340348287;
0.76084549850357670.934092598545819;0.8421647740301191,0.9187919339310909;0.569339250325364,0.30703124459502884;0.09638321929980209,0.9355351358759102;
0.8323249251534045,0.203485393018353220.8595750737539691,0.3989422844688687;0.5137227522967235,0.9744876611431886;0.29339374385733585,0.3298093494012715;
abc,def;0.08225661801658701,0.057451098222868646;0.8078569897133562,0.8699572668400289;0.14717623576036254,0.6171716747486715;

;;;;
0.8804984196710276,0.10511351702097516;0.2654523181941649,0.9278599413073116;0.47272718043706485,0.8571705934367909;0.7087742203905814,
